Index,Names,Surname,Field_of_study
100100,Carson,Payne,2
100101,Lonna,Cortez,1
100102,Annemarie,Landry,3
100103,Blaine,Goodman,3
100104,Deloise,Newton,3
100105,Celinda,Parrish,2
100106,Lucien,Brooks,2
100107,Daniel,Bailey,1
100108,Jodie,Lara,1
100109,Bong,Salazar,2
100110,Vicky,Hopkins,1
100111,Saul,Stanton,1
100112,Everett,Benjamin,2
100113,Sung,Ibarra,1
100114,Tuan,Jordan,2
100115,Emmanuel,Garner,3
100116,Venus,Gill,3
100117,Delmar,Holland,2
100118,Erinn,Diaz,1
100119,Lyman,Wall,3
100120,Kai,Dodson,3
100121,Irmgard,Lutz,1
100122,Jong,Pitts,2
100123,Jude,Salas,2
100124,Nyla,Dalton,3
100125,Monique,Cannon,1
100126,Lauran,Peterson,3
100127,Bula,Irwin,3
100128,Stanford,Montgomery,1
100129,Fiona,Glenn,2
